source_id,destination_id,units_shipped,total_cost
S930c72c,De569c11,12653,3304.67
S930c72c,D04f9f83,14511,2128.28
S930c72c,De569c11,13147,1856.05
S930c72c,D98c2300,15589,-359.02
S930c72c,D3034469,11793,671.55
S930c72c,D04f9f83,15471,567.27
S930c72c,D7cefff4,14319,584.37
S930c72c,D3034469,12878,3308.93
S930c72c,D3034469,16262,2552.23
S930c72c,D98c2300,10935,6746.56
S930c72c,D7cefff4,11403,123.28
S930c72c,Dc20a1c2,16237,557.47
S930c72c,D04f9f83,13600,1586.67
S930c72c,D7cefff4,10080,814.57
S930c72c,De569c11,16221,1965.6
S930c72c,D04f9f83,10910,2472.93
S930c72c,D04f9f83,17601,-58.67
S930c72c,D3034469,12365,2187.92
S930c72c,D04f9f83,11825,433.58
S930c72c,D3034469,16012,271.31
S930c72c,D7cefff4,11559,124.96
S930c72c,D04f9f83,15018,250.3
S930c72c,De569c11,12135,256.98
S930c72c,D04f9f83,13464,89.76
S930c72c,D3034469,16819,116.8
S930c72c,De569c11,14476,5228.39
S930c72c,D04f9f83,19815,528.4
S930c72c,D04f9f83,19327,1868.28
S930c72c,D3034469,18010,125.07
S930c72c,D3034469,12370,1570.3
S930c72c,De569c11,13795,1671.63
S930c72c,D98c2300,12363,827.95
S930c72c,Dc20a1c2,11707,2040.92
S930c72c,D98c2300,14989,5500.51
S930c72c,De569c11,15774,3804.32
S930c72c,D3034469,14475,245.27
S930c72c,D98c2300,16823,1463.09
S930c72c,D7cefff4,18111,3093.55
S930c72c,D04f9f83,18743,687.24
S930c72c,D04f9f83,17030,2497.73
S930c72c,D7cefff4,14870,606.86
S930c72c,De569c11,16411,2480.96
S930c72c,D3034469,12222,207.09
S930c72c,De569c11,16432,1991.17
S930c72c,D7cefff4,12052,10615.53
S930c72c,D04f9f83,10473,1117.12
S930c72c,D7cefff4,10431,5641.2
S930c72c,Dc20a1c2,12415,674.55
S930c72c,Dc20a1c2,12594,432.39
S930c72c,De569c11,19560,609.81
S930c72c,De569c11,19586,6290.56
S930c72c,D04f9f83,16915,620.22
S930c72c,De569c11,17541,3528.84
S930c72c,D98c2300,15696,8585.24
S930c72c,Dc20a1c2,19983,1485.4
S930c72c,De569c11,19167,1555.91
S930c72c,D98c2300,19863,4508.3
S930c72c,De569c11,15002,617.73
S930c72c,D3034469,10417,697.36
S930c72c,D3034469,19827,3310.01
S930c72c,D7cefff4,10992,1877.55
S930c72c,D3034469,12079,2620.47
S930c72c,D3034469,10751,2224.86
S930c72c,D98c2300,14470,3139.55
S930c72c,De569c11,17788,3756.41
S930c72c,Dc20a1c2,11089,1378.73
S930c72c,D3034469,17764,6696.04
S930c72c,D3034469,10362,1419.02
S930c72c,D7cefff4,19547,15.85
S930c72c,D98c2300,12712,8097.16
S930c72c,D7cefff4,11532,124.67
S930c72c,D3034469,11739,316.3
S930c72c,D7cefff4,19546,797.69
S930c72c,D3034469,14980,1002.83
S930c72c,D7cefff4,10536,1694.3
S930c72c,De569c11,18076,6709.39
S930c72c,D7cefff4,14635,11.87
S930c72c,D3034469,11621,894.17
S930c72c,D7cefff4,11969,2403.5
S930c72c,D98c2300,19092,133.07
S930c72c,D98c2300,13865,651.23
